2.71874 0.00000 0.00000
-1.35937 2.35450 0.00000
0.00000 0.00000 4.29722
2.00000 3.00000 -1.00000
3.00000 2.00000 -1.00000
-5.00000 -5.00000 -2.00000
-0.99025 -0.91506 -2.00000 Ru
-1.30324 -1.60673 -2.50000 Ru
0.00000 0.00000 -2.00000 Ru
-0.33333 -0.66667 -2.50000 Ru
1.00000 1.00000 -2.00000 Ru
0.66667 0.33333 -2.50000 Ru
2.00000 2.00000 -2.00000 Ru
1.66667 1.33333 -2.50000 Ru
3.00000 3.00000 -2.00000 Ru
-0.33333 0.33333 -1.50000 Ru
2.00000 2.00000 -3.00000 Ru
-1.33333 -0.66667 -2.50000 Ru
-2.00000 -2.00000 -1.00000 Ru
-0.33333 0.33333 -2.50000 Ru
-1.00000 -1.00000 -1.00000 Ru
-1.33333 -1.66667 -1.50000 Ru
-0.00000 0.00000 -1.00000 Ru
-0.33333 -0.66667 -1.50000 Ru
1.00222 1.00442 -1.00000 Ru
0.66667 0.33333 -1.50000 Ru
2.00000 2.00000 -1.00000 Ru
1.66667 1.33333 -1.50000 Ru
-2.00000 -2.00000 -3.00000 Ru
2.66667 2.33333 -1.50000 Ru
-1.00000 -1.00000 -3.00000 Ru
3.66667 3.33333 -1.50000 Ru
-0.00000 -0.00000 -3.00000 Ru
-0.33333 -0.66667 -3.50000 Ru
4.00000 4.00000 -2.00000 Ru
0.66667 1.33333 -1.50000 Ru
0.00383 -0.00000 -4.00000 Ru
1.66667 2.33333 -1.50000 Ru
-4.00000 -4.00000 -2.00000 Ru
0.66667 0.33333 -0.50000 Ru
-3.00000 -3.00000 -2.00000 Ru
-3.33333 -3.66667 -2.50000 Ru
-2.00000 -2.00000 -2.00000 Ru
-2.33333 -2.66667 -2.50000 Ru
1.00000 1.00000 -3.00000 Ru
-2.33333 -1.66667 -2.50000 Ru
