-1.16588 0.66824 5.25000 Ru
-2.16589 1.16589 2.25000 Ru
0.33176 1.16589 2.25000 Ru
0.16589 1.33176 2.75000 Ru
0.66824 1.83411 2.75000 Ru
0.16589 1.83411 2.75000 Ru
-1.66667 0.66667 -0.75000 Ir
-1.33333 0.33333 -0.25000 Ir
-1.16589 0.66824 -0.75000 Ru
-0.16589 2.16589 2.25000 Ru
-0.66824 2.16589 2.25000 Ru
-1.83411 0.33176 -0.25000 Ru
-1.33176 0.83411 -0.25000 Ru
-1.83411 0.83411 -0.25000 Ru
-0.66667 0.66667 -0.75000 Ir
-0.33333 0.33333 -0.25000 Ir
-2.16588 -0.33176 2.25000 Ru
-1.16589 1.16589 5.25000 Ru
0.33176 2.16588 2.25000 Ru
-0.83411 0.33176 -0.25000 Ru
-0.33176 0.83411 -0.25000 Ru
-0.83411 0.83411 -0.25000 Ru
-0.66667 0.66667 3.25000 Ir
-1.33333 1.33333 0.75000 Ir
-1.16589 1.66824 0.25000 Ru
-1.16589 1.16589 0.25000 Ru
-1.66824 1.16588 0.25000 Ru
-1.83412 1.33176 0.75000 Ru
-1.33176 1.83411 0.75000 Ru
-0.83411 0.83411 3.75000 Ru
-0.66667 1.66667 3.25000 Ir
-0.33333 1.33333 3.75000 Ir
-0.16588 1.66824 3.25000 Ru
-0.16589 1.16589 3.25000 Ru
-0.66824 1.16588 3.25000 Ru
-0.83412 1.33176 3.75000 Ru
-1.33176 -0.16589 0.75000 Ru
-1.83411 -0.16589 0.75000 Ru
0.33333 1.66667 3.25000 Ir
-0.33333 2.33333 0.75000 Ir
-0.16589 2.66824 0.25000 Ru
-0.16589 2.16589 0.25000 Ru
-0.66824 2.16588 0.25000 Ru
-0.83412 2.33176 0.75000 Ru
-1.33176 0.83411 -2.25000 Ru
-0.83411 -0.16589 0.75000 Ru
-1.66667 -0.33333 1.25000 Ir
-0.33333 1.33333 4.75000 Ir
-1.16588 -0.33176 1.25000 Ru
-1.16589 2.16589 1.25000 Ru
-0.66824 1.16588 4.25000 Ru
-0.83412 1.33176 4.75000 Ru
-1.33176 -0.16589 1.75000 Ru
-1.83411 -0.16589 1.75000 Ru
-1.66667 -0.33333 2.25000 Ir
-2.33333 0.33333 -0.25000 Ir
-1.16588 -0.33176 2.25000 Ru
-1.16589 2.16589 2.25000 Ru
-0.66824 1.16588 5.25000 Ru
-1.83411 -0.66824 2.75000 Ru
-1.33176 -0.16589 2.75000 Ru
-1.83411 -0.16589 2.75000 Ru
