-0.00734 1.90775 1.90146
1.90099 0.00561 1.90998
1.90355 1.90669 0.00151
0.00000 1.00000 1.00000
2.00000 0.00000 -2.00000
-3.00000 4.00000 -3.00000
-2.00115 3.99774 -2.00011 Ru
-1.00115 1.99774 -1.00011 Ru
-0.00115 2.99774 -3.00011 Ru
-1.00115 2.99774 -1.00011 Ru
-1.00115 3.99774 -3.00011 Ru
-2.00115 2.99774 -2.00011 Ru
-0.00115 0.99774 -0.00011 Ru
-0.00115 1.99774 -2.00011 Ru
0.99885 1.99774 -2.00011 Ru
-0.00115 0.99774 -1.00010 Ru
-1.00115 2.99774 -2.00011 Ru
-0.00115 2.99774 -2.00011 Ru
-1.00115 2.99774 -3.00011 Ru
-1.00115 3.99774 -4.00010 Ru
0.99885 0.99774 -1.00011 Ru
-1.00115 4.99774 -4.00011 Ru
-0.00115 1.99774 -1.00011 Ru
0.99885 0.99774 -2.00011 Ru
-2.00115 3.99774 -3.00011 Ru
-2.00115 4.99774 -3.00011 Ru
