5.749716 0.000000 0.000000
-2.874858 4.979400 0.000000
0.000000 0.000000 4.597605
1.000000 -1.000000 -1.000000
1.000000 1.000000 0.000000
1.000000 -1.000000 1.000000
1.333300 -0.333300 0.250000 Ru
2.333300 -0.333300 0.250000 Ir
1.333300 -0.333300 -0.750000 Ir
1.333300 0.666700 0.250000 Ru
1.666700 -0.666700 0.750000 Ir
1.666700 0.333300 -0.250000 Ru
1.666700 -0.666700 -0.250000 Ir
2.666700 -0.666700 -0.250000 Ru
1.833300 -0.333300 0.250000 Ir
1.833300 -1.333300 0.250000 Ir
1.833300 -0.333300 -0.750000 Ir
0.833300 -0.333300 0.250000 Ir
1.833300 -0.833300 0.250000 Ir
1.833300 0.166700 -0.750000 Ir
0.833300 0.166700 0.250000 Ir
1.833300 0.166700 0.250000 Ir
1.333300 -0.833300 0.250000 Ir
2.333300 -0.833300 0.250000 Ir
1.333300 -0.833300 -0.750000 Ir
1.333300 0.166700 0.250000 Ir
1.166700 -0.666700 0.750000 Ir
1.166700 0.333300 -0.250000 Ir
1.166700 -0.666700 -0.250000 Ir
2.166700 -0.666700 -0.250000 Ir
1.666700 -0.166700 0.750000 Ir
0.666700 -0.166700 -0.250000 Ir
1.666700 -0.166700 -0.250000 Ir
1.666700 -1.166700 -0.250000 Ir
2.166700 -1.166700 -0.250000 Ir
2.166700 -0.166700 0.750000 Ir
1.166700 -0.166700 -0.250000 Ir
2.166700 -0.166700 -0.250000 Ir
