-0.00734 1.90775 1.90146
1.90099 0.00561 1.90998
1.90355 1.90669 0.00151
0.00000 -1.00000 1.00000
-3.00000 2.00000 3.00000
-4.00000 0.00000 0.00000
-2.00115 -0.00226 1.99990 Ru
-5.00115 -0.00226 1.99990 Ru
-4.00115 -0.00226 1.99990 Ru
-3.00115 -0.00226 1.99990 Ru
-3.00115 0.99774 1.99990 Ru
-2.00115 0.99774 1.99990 Ru
-5.00115 0.99774 1.99990 Ru
-4.00115 0.99774 1.99989 Ru
-4.00115 0.99774 2.99990 Ru
-3.00115 0.99774 2.99990 Ru
-6.00115 0.99774 2.99990 Ru
-5.00115 0.99774 2.99990 Ru
-4.00115 1.99774 2.99989 Ru
-3.00115 1.99774 2.99989 Ru
-6.00115 1.99774 2.99990 Ru
-5.00115 1.99774 2.99990 Ru
-2.00115 -0.00226 0.99989 Ru
-1.00115 -0.00226 0.99989 Ru
-4.00115 -0.00226 0.99990 Ru
-3.00115 -0.00226 0.99990 Ru
